Rk,Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Min,90s,Goals,Assists,Goals and Assists,Non Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assisted Goals,Non Penalty Expected Goals AND Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Recieved,Goals per 90 minutes,Assists per 90 minutes,Goals AND Assists per 90 minutes,Non Penalty Goals per 90 minutes,Non Penalty Goals AND Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assisted Goals per 90 minutes,Non Penalty Expected Goals AND Expected Assisted Goals per 90 minutes,Non Penalty Expected Goals per 90 minutes,Non Penalty Expected Goals AND Assisted Goals per 90 minutes,Matches
14,Mackenzie Arnold,au AUS,Goalkeeper,Thorns,31,1994,18,18,1620,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Alanna Kennedy,au AUS,"Midfielder, Defender",Angel City,30,1995,16,16,1347,15,1,1,2,1,0,0,0,0,1.4,1.4,0.7,2.1,6,54,13,0.07,0.07,0.13,0.07,0.13,0.09,0.05,0.14,0.09,0.14,Matches
346,Kaitlyn Torpey,au AUS,Defender,Thorns,25,2000,17,12,976,10.8,0,0,0,0,0,0,3,0,0,0,0.7,0.7,9,33,22,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
354,Cortnee Vine,au AUS,Forward,Courage,27,1998,15,5,506,5.6,1,0,1,1,0,0,0,0,2,2,0.7,2.7,6,8,37,0.18,0,0.18,0.18,0.18,0.35,0.13,0.48,0.35,0.48,Matches
52,Jess Carter,eng ENG,Defender,Gotham FC,27,1997,22,22,1821,20.2,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,10,65,7,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
138,Laila Harbert,eng ENG,"Midfielder,Forward",Thorns,18,2007,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Anna Moorhouse,eng ENG,Goalkeeper,Pride,30,1995,24,24,2120,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Esme Morgan,eng ENG,Defender,Spirit,25,2000,24,21,1911,21.2,2,2,4,2,0,0,2,0,1.2,1.2,0.7,1.9,14,94,5,0.09,0.09,0.19,0.09,0.19,0.06,0.03,0.09,0.06,0.09,Matches
366,Katie Zelem,eng ENG,Midfielder,Angel City,29,1996,15,6,585,6.5,2,0,2,2,0,0,2,0,1.2,1.2,0.6,1.8,2,41,14,0.31,0,0.31,0.31,0.31,0.18,0.1,0.28,0.18,0.28,Matches
128,Esther González,es ESP,"Forward,Midfielder",Gotham FC,32,1992,23,22,1911,21.2,13,1,14,11,2,2,2,0,9.4,7.9,2,9.9,29,62,116,0.61,0.05,0.66,0.52,0.57,0.44,0.09,0.54,0.37,0.47,Matches
147,Oihane Hernández,es ESP,Defender,Pride,25,2000,20,15,1106,12.3,0,2,2,0,0,0,0,0,0.4,0.4,1.7,2.2,32,46,78,0,0.16,0.16,0,0.16,0.04,0.14,0.18,0.04,0.18,Matches
202,Maitane López Millán,es ESP,Midfielder,Chicago Stars,30,1995,22,20,1650,18.3,0,2,2,0,0,0,1,0,0.5,0.5,0.5,1,7,51,12,0,0.11,0.11,0,0.11,0.03,0.02,0.05,0.03,0.05,Matches
283,Nuria Rábano,es ESP,Defender,Royals,26,1999,21,20,1553,17.3,0,2,2,0,0,0,5,0,0.1,0.1,1.5,1.6,28,52,21,0,0.12,0.12,0,0.12,0.01,0.09,0.09,0.01,0.09,Matches
340,Ana Tejada,es ESP,"Midfielder, Defender",Royals,23,2002,22,19,1581,17.6,0,0,0,0,0,0,6,1,0.3,0.3,0.6,0.8,3,51,7,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,Matches
367,Claudia Zornoza,es ESP,Midfielder,Royals,35,1990,23,23,1916,21.3,1,2,3,1,0,0,2,0,1.1,1.1,2.9,4,24,110,24,0.05,0.09,0.14,0.05,0.14,0.05,0.14,0.19,0.05,0.19,Matches
